year,continent,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1964,Americas,Earthquake,4,352,8000,0,0,8000,2046000
1964,Americas,Epidemic,2,0,2400,0,0,2400,0
1964,Americas,Flood,10,418,240000,0,0,240000,1641000
1964,Americas,Storm,16,610,181000,236,0,181236,522600
1964,Americas,"Volcanic activity",2,8,4000,0,0,4000,0
1964,Asia,Drought,8,0,2582000,0,0,2582000,0
1964,Asia,Earthquake,6,310,170000,5922,46000,221922,1610000
1964,Asia,Epidemic,4,1234,26696,0,0,26696,0
1964,Asia,Flood,20,1576,3698074,0,0,3698074,12000
1964,Asia,Landslide,2,216,0,0,0,0,0
1964,Asia,Storm,26,20200,5320910,4212,286000,5611122,275700
1964,Europe,Earthquake,2,0,2000,0,0,2000,0
1964,Europe,Flood,2,0,400000,0,80000,480000,125200
1964,Oceania,Flood,2,2,16000,0,20000,36000,2200
